ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
1038|gonen mae kare wa mada shougakusei datta hazuda.|５年前、彼はまだ小学生だったはずだ。|He must have been an elementary student five years ago.|Il doit avoir été un étudiant d'école élémentaire il y a cinq ans.|Debe haber sido un estudiante de escuela primaria hace cinco años.|
1039|subete umaku iku hazu datta noni...|全てうまく行くはずだったのに...|Everything should have gone well (but...)|Tout aurait dû aller bien (mais ...)|Todo debería haber ido bien (pero ...)|
1040|jibun ni totte tokubetu na hazu datta hito ga kirai ni natte kita.|自分にとって特別なはずだった人が嫌いになってきた。|I’ve come to dislike someone who was supposed to be special for me.|Je suis arrivé à ne pas aimer quelqu'un qui était censé être spécial pour moi.|He llegado a rechazar a alguien que se supone que es especial para mí.|
1041|kondo kau no wa neko no hazu datta ga inu wo kau koto ni natta.|今度飼うのは猫のはずだったが犬を飼うことになった。|We were supposed to have a cat as a pet this time but we ended up having a dog.|Nous étions censés avoir un chat comme animal de compagnie cette fois-ci, mais nous avons fini par avoir un chien.|Se suponía que tener un gato como mascota, pero esta vez llegó a tener un perro.|
1042|konna nagai ressun ni naru hazu ja nakatta n dakedo...|こんな長いレッスンになるはずじゃなかったんだけど...|It wasn’t supposed to be this long a lesson but...|Il n'a pas été censé être une leçon tellement longue, mais ...|No se suponía que la leccíon esta tan larga, pero ...|
1043|konna hazu dewa nakatta.|こんなはずではなかった。|This wasn't supposed to be happening.|Ce ne devait pas se produire.|Esto no tenía que estar sucediendo.|
1044||||||
1045|yoku sato wa shizuka ni narimasu.|よくそとはしずかになります。|Often outside becomes quiet.|Souvent, le dehors devient calme.|A menudo se hace fuera tranquilo.|
1046|konojo wa kirei ni narimashita.|彼女はきれいになりました。|She became beautiful.|Elle est devenue belle.|Ella se convirtió en hermosa.|
1047|watashi wa onaka ga itaku narimasu.|私はおなかが痛くなります。|As for me, my stomach is becoming painful.|Quant à moi, mon estomac devient douloureux.|En cuanto a mí, mi estómago está convirtiendo dolorosa.|
1048|soto ga kuraku narimashita.|外が暗くなりました。|It got dark outside.|Il est devenu sombre dehors.|Se puso oscuro afuera.|
1049||||||
1050|eiga no naka de suupaaman ga ichiban suki desu.|映画の中でスーパーマンがー番好きです。|Out of all the movies, Superman is the one I like best.|De tous les films, Superman est celui que je préfère.|De todas las películas, Superman es el que más me gusta.|
1051|basu de iku yori densha de itta hou ga hayai desu.|バスで行くより電車で行ったぼうがはやいです。|Going by train is faster than going by bus.|Aller par train est plus rapide que d'aller par bus.|Ir en tren es más rápido que ir en autobús.|
1052|fuyu yori natsu no hou ga suki desu.|冬より夏のほうが好きです。|I like summer more than winter.|J'aime l'été plus que l'hiver.|Me gusta el verano más del invierno.|
1053|watashi yori kare no hou ga biiru ga nomemasu.|私よい彼のほうがビールが飲めます。|He can drink more beer than I.|Il peut boire plus de bière que moi.|Se puede beber más cerveza que yo.|
1054|ongaku wa urusai noto shizuka na noto dochira ga suki desu ka?|音楽はうるさいのとしずかなのととちらが好きですか?|Between loud and calm music, which one do you like?|Entre la musique forte et calme, qu'aimez-vous?|Entre música fuerta y tranquila, ¿cuál te gusta?|
1055|basu de iku noto densha de iku noto dochira ga ii desu ka?|バスで行くのと電車で行くのととちらがはやいですか?|Between going by bus and going by train, which is faster?|Entre aller par bus et en aller par train, quel est plus rapide?|Entre ir en autobús y va en tren, que es más rápido?|
1056|chinkansen no chizu wa chiisai noto ookii noto dochira ga ii desu ka?|地下鉄の地図は小いのと大きいのととちらがいいですか?|Regarding the subway map, of the smaller and bigger one which is best?|En ce qui concerne la carte de métro, lequel entre le plus petit et le plus grand est le meilleur?|En cuanto al mapa del metro, cuál dentro del más pequeño y del más grande es mejor?|
1057|kurasu no ato de kusuriya ni ikimasu.|クラスの後で薬屋に行います。|After class, I will go to the pharmacy.|Après la classe, je vais aller à la pharmacie.|Después de la clase, voy a ir a la farmacia.|
1058|nijikan ato de dekakemasu.|ニ時間後で出かけます。|After two hours I will go out.|Au bout de deux heures, je sortirai.|Después de dos horas voy a salir.|
1059|kurasu ato kusuriya ni ikimasu.|クラス後薬屋に行きます。|After class, I will go to the pharmacy.|Après la classe, je vais aller à la pharmacie.|Después de la clase, voy a ir a la farmacia.|
1060|shokuji wo shita ato de eiga wo mimasu.|食事をした後で映画を見ます。|After I had a meal I will see a movie.|Après avoir eu un repas, je vais voir un film.|Después de que tuve una comida voy a ver una película.|
1061|shokuji no mae ni te wo araimasu.|食事の前に手を洗います。|Before a meal I wash my hands.|Avant un repas, je me lave les mains.|Antes de una comida me lavo las manos.|
1062|kurisumasu no futsuka ni prezento wo kaimasu.|クリスマスの2日前にプレゼントを買います。|Two days before christmas I buy presents.|Deux jours avant Noël, j'achete des cadeaux.|Dos días antes de Navidad compro regalos.|
1063|Eiga wo miru mae ni shokuji wo shimasu.|映画を見る前に食事をします。|Before I watch a movie I eat a meal.|Avant que je regarde un film que je mange un repas.|Antes de ver una película que como una comida.|
1064|dezaina no tenrankai wo mi ni ikimasu.|デゼイナーのてんらんかいを見に行きます。|I'm going to see a designers' exhibition.|Je vais voir une exposition de designers.|Voy a ver la exposición una diseñadores.|
1065|kare wo ai ni ikimasu.|彼を会いに行きます。|I'm going to meet him.|Je vais le rencontrer.|Voy a su encuentro.|
1066|shinbun wo katte ikimasu.|新聞を買って行きます。|He buys a newspaper then goes.|Il achète un journal et puis s'en va.|Se compra un periódico y va a continuación.|
1067|dezaina no tenrankai ni itte resutoran ni ikimasu.|デゼイナーのてんらんかいに行ってレストランに行きます。|I'm going to a designers' exhibition and after that to a restaurant.|Je vais à une exposition de designers et après ça à un restaurant.|Voy a una exposición de diseñadores y después de eso a un restaurante.|
1068||||||
1069|denki wo katte okimasu.|電池を買っておきます。|I'll buy batteries (in advance for the future).|Je vais acheter des piles (à l'avance pour l'avenir).|Voy a comprar baterías (por adelantado para el futuro).|
1070||||||
1071|maiasa uchi de sentaku wo shite kara gakko ni ikimasu.|毎朝選択をしてから学校に行きます。|Every morning before I go to school I do the laundry.|Chaque matin avant d'aller à l'école je fais la lessive.|Toda mañana antes de ir a la escuela hago la lavandería.|
1072|kare no ojiisan ga kono uchi wo tatte kara 100 nen tachimashita.|彼の叔父さんがこのうちを経ってから１００円経ちました。|His father built this house and thereafter it stood 100 years.|Son père a construit cette maison, et elle a tenu 100 ans.|Su padre construyó esta casa y, posteriormente, se puso de pie 100 años.|
1073|oyu wo wakashimasu. sorekara supageti wo hairemasu.|お湯をわかします。それからスパゲティを入れます。|Boil the hot water, and then insert the spaghetti.|Faites bouillir l'eau chaude, puis insérez les spaghettis.|Herve el agua caliente, y luego inserte los espaguetis.|
1074|koohii wo kudasai, sorekara keeki wo kudasai.|コーヒーをください，それからケーキをください。|A coffee please, and after that a cake please.|Un café s'il vous plaît, et après ça un gâteau s'il vous plaît.|Un café por favor, y después un pastel por favor.|
1075||||||
1076|haha wa ima kaette kita bakari desu.|母は今帰ってきたばかりです。|My mother just got home.|Ma mère est justement rentrée.|Mi madre acaba de llegar a casa.|
1077||||||
1078||||||
1079|sen en satsu shika motteimasen.|千円札しか持っていません。|I only have 1000-yen bills.|Je n'ai que des billets de 1000 yens.|Sólo tengo billetes de 1000 yenes.|
1080|mado ga akete aru.|窓が開けてある。|The window has been left open.|La fenêtre a été laissée ouverte.|La ventana se ha dejado abierta.|
1081|junbi ga mou shitearu yo.|準備がもうしてあるよ。|The preparations are already done.|Les préparatifs sont déjà fait.|Los preparativos ya están hechos.|
1082|ano futari wa chikaku kekkon suru sou desu.|あの二人は近く結婚するそうです。|I hear these two are going to get married soon.|J'entends que ces deux vont bientôt se marier.|Escucho que estos dos van a casarse pronto.|
1083|atarashiku kouza hirakimasu.|新しく講座を開きます。|I am opening a bank account anew. (ie. A new bank account)|J'ouvre un compte bancaire à nouveau. (c.-à-d. Un nouveau compte bancaire)|Estoy abriendo una cuenta bancaria de nuevo. (Es decir. Una nueva cuenta bancaria)|
1084|tsuyoku buzaa wo oshimasu.|強くブザーを押します。|I am pressing the buzzer strongly.|J'appuie sur le buzzer fortement.|Estoy presionando el timbre fuerte.|
1085||||||
1086|asa ni naru to akaruku naru.|朝になると明るくなる。|It is becoming morning so it is getting brighter.|Il devient matin, donc il devient plus lumineux.|Se está convirtiendo en la mañana por lo que se volve más brillante.|
1087|itaku narimashita.|痛くなりました。|It turned painful.|Ç'est devenu douloureux.|Se volvió doloroso.|
1088||||||
1089||||||
1090|kono shuumatsu wa samusugimashita.|この週末は寒すぎました。|This weekend was too cold.|Ce week-end était trop froid.|Este fin de semana era demasiado frío.|
1091||||||
1092|kirei ni kanji wo kakimasu.|きれいに漢字を書きます。|He writes kanji beautifully.|Il écrit les kanjis joliment.|Él escribe kanji hermosamente.|
1093|shizuka ni doa wo shimeru.|静かにドアを閉める。|He closes the door silently.|Il ferme la porte en silence.|Se cierra la puerta en silencio.|
1094|shizuka ni narimasu.|静かになります。|To become quiet.|Devenir calme.|Llegar a ser tranquilo.|
1095|watashi wa sashimi ga suki ni narimasu.|私はさしみが好きになります。|I am getting to like sashimi.|Je commence à aimer le sashimi.|Me volve a gustar el sashimi.|
1096||||||
1097|kore wa kodomoyou no isu desu.|これは子供用の椅子です。|This is a chair meant for kids.|Ceci est une chaise destinée pour les enfants.|Se trata de una silla destinada a los niños.|
1098|kandzume no nakami wa gyuniku dake desu.|かんづめの中みは牛肉だけです。|The contents of the canned food include only cow meat.|Le contenu de la nourriture en conserve ne comprent que la viande de vache.|El contenido de la comida enlatada incluya carne de vaca solamente.|
1099|sarada dake wo chuumon shimashita.|サラダだけを注文しました。|He only ordered salad.|Il n'a commandé qu'une salade.|Lo único que pedí es una ensalada.|
1100|okane ga sukoshi shika arimasen.|お金が少ししかありません。|I didn't have anything but a bit of money.|Je n'avais rien sauf un peu d'argent.|No tenía nada más que un poco de dinero.|
1101|itsu shika motanai.|一つしか持たない。|I didn't have anything except for one.|Je n'avais rien sauf un.|Yo no tenía nada excepto uno.|
1102|saradabakkari wo chuumon shimasu.|サラダだけを注文します。|He only ever orders salad.|Il ne commande que de la salade.|Lo único que órdena es ensalada.|
1103|kare wa netebakkari.|彼は寝てばっかり。|He only ever sleeps.|Il ne fair que dormir.|Lo único que hacer es dormir.|
1104||||||
1105|futatsume no doa.|二つ目のりんご|The second door.|La deuxième porte.|La segunda puerta.|
1106||||||
1107|nissu wa dono kurai desu ka? nissu wa ni kagetsu gurai desu.|日数はどのくらいですか？　日数二ヶ月ぐらいです。|How many days it is approximately? It is approximately two months.|Combien de jours ç'est à peu près? Ç 'est environ deux mois.|¿Cuántos días es aproximadamente? Es aproximadamente dos meses.|
1108|maissu wa dono kurai desu ka? nimaisu wa gurai desu.|枚数はどのくらいですか？　二枚数派ぐらいです。|How many (sheets of paper) will it take approximately? It will take approximately two sheets of paper.|Combien (feuilles de papier) prendra-t-il à peu près? Il faudra environ deux feuilles de papier.|¿Cuántas (hojas de papel) se tarda aproximadamente? Se llevará aproximadamente dos hojas de papel.|
1109|honsu wa dono kurai desu ka? Happon desu.|本数はどのくらいですか？　八本です。|How many (bottles) are there approximately? There are eight bottles.|Combien (de bouteilles) y a-t-il à peu près? Il y a huit bouteilles.|¿Cuántos (botellas) hay aproximadamente? Hay ocho botellas.|
1110||||||
1111||||||
1112|ima shigoto chuu desu.|今仕事中です。|I am in the middle of work.|Je suis au milieu de travail.|Estoy en el medio de trabajo.|
1113|jugyouchuu ni tabetemo ii desu ka?|授業中に食べてもいいですか？|Is it all right to eat during class?|Est-il permis de manger pendant la classe?|¿Está permitido comer durante la clase?|
1114||||||
1115|kotaekata.|答え方。|How to answer.|Comment répondre.|Cómo responder.|
1116|kono ryouri wo tsukurikata.|この料理を作り方。|How to prepare this food.|Comment préparer cette nourriture.|Cómo preparar este alimento.|
1117|kangae nikui.|考え難い。|Hard to think.|Difficile de penser.|Difícil pensar.|
1118|tabe nikui.|食べ難い。|Hard to eat|Difficile à manger|Difícil comer|
1119||||||
1120||||||
1121|kasa ga sanbon arimasu.|傘が三本あります。|There are three umbrellas.|Il y a trois parapluies.|Hay tres sombrillas.|
1122|koora wo roppon kudasai.|コーラを六本ください。|Six colas please.|Six colas vous plaît.|Seis colas por favor.|
1123||||||
1124||||||
1125|koohii wo mittsu kudasai.|コーヒーを三つ下さい。|Three coffees please.|Trois cafés vous plaît.|Tres cafés por favor.|
1126|ringo wa itsutsu 400 en desu.|林檎は五つ400円です。|Five apples cost 400 yen.|Cinq pommes coûtent 400 yens.|Cinco manzanas cuestan 400 yenes.|
1127|sumimasen, kore wo hitotsu kudasai.|すみません，これを一つください。|Excuse me, can I have one (of these) please?|Excusez-moi, puis-je avoir un (de celas) s'il vous plaît?|Perdone, ¿puedo tener uno (de ellos) por favor?|
1128|ima san ji desu.|今三待です。|It is now 3 o'clock.|Il est maintenant 3 heures.|Ahora es 3:00.|
1129|ima kuji desu.|今九時です。|It is now 9 o'clock.|Il est maintenant 9 heures.|Ahora es 9:00.|
1130|kyou wa juuni nichi desu.|今日は十二日です。|Today is the twelfth day of the month.|Aujourd'hui est le douzième jour du mois.|Hoy es el duodécimo día del mes.|
1131|kinou wa ichinichi uchi ni imashita.|昨日はー日家にいました。|Yesterday I was at home for one day.|Hier, j'étais à la maison un jour.|Ayer estaba en casa durante un día.|
1132|kodomo wa go sai desu.|子供は五さいです。|The child is 5 years old.|L'enfant est âgé de 5 ans.|El niño tiene 5 años.|
1133|otouto wa hatachi ni narimashita.|弟は二十歳になりました。|My younger brother turned twenty.|Mon jeune frère a eu vingt ans.|Mi hermano más joven cumpló los veinte años.|
1134|teeburu no yokode hanashiteiru futari donata desu ka?|テーブルの横手話している二人どなたですか？|Who are the two people speaking next to the table?|Qui sont les deux personnes qui parlent à côté de la table?|¿Cuáles son las dos personas hablando al lado de la mesa?|
1135|kono eiga wo nikai mimashita.|この映画を二回見ました。|I watched this movie twice.|J'ai vu ce film deux fois.|Vi esta película dos veces.|
1136||||||
1137|kono eiga wo nido mimashita.|この映画は二度見ました。|I watched this movie twice.|J'ai vu ce film deux fois.|Vi esta película dos veces.|
1138|mou ichido itte kudasai.|もういちど言って下さい。|Please say (it) one more time.|S'il vous plaît dîtes(-le) une fois de plus.|Por favor, diga(le) una vez más.|
1139|sanban wo yomimasu.|三番を読みます。|I am reading number three.|Je suis en train de lire le numéro trois.|Estoy leyendo el número tres.|
1140|nihon de ichiban takai yama wa fujisan desu.|日本で一番高い山はふじ山です。|The highest mountain in Japan is Fujisan.|La plus haute montagne au Japon est Fujisan.|La montaña más alta de Japón es Fujisan.|
1141|ichiban iimono wo erabimasu.|一番いいものを選びます。|I choose the best of the best.|Je choisis le meilleur parmi les meilleurs.|Elijo el mejor de los mejores.|
1142||||||
1143||||||
1144||||||
1145||||||
1146||||||
1147|rokkagetsu inai ni kite kudasai.|六か月以内に来てください。|Please come within six months.|S'il vous plaît venez dans les six mois suivants.|Por favor, ven dentro de seis meses.|
1148|ichikagetsu shigoto wo yasumimasu.|一か月仕事を休みます。|I'll take a break from work for one month.|Je vais faire une pause de travail pendant un mois.|Voy a tomar un descanso del trabajo durante un mes.|
1149||||||
1150||||||
1151||||||
1152||||||
1153||||||
1154||||||
1155||||||
1156||||||
1157||||||
1158||||||
1159||||||
1160||||||
1161||||||
1162||||||
1163||||||
1164||||||
1165||||||
1166||||||
1167||||||
1168||||||
1169||||||
1170||||||
1171||||||
1172||||||
1173||||||
1174||||||
1175||||||
1176||||||
1177||||||
1178||||||
1179||||||
1180||||||
1181||||||
1182||||||
1183||||||
1184||||||
1185||||||
1186|mou ichido onegaishimasu.|もう一度お願いします。|Once more please.|Encore une fois s'il vous plaît.|Una vez más, por favor.|
1187||||||
1188||||||
1189||||||
1190||||||
1191||||||
1192||||||
1193||||||
1194||||||
1195||||||
1196||||||
1197||||||
1198||||||
1199||||||
1200||||||
1201||||||
1202||||||
1203||||||
1204||||||
1205||||||
1206||||||
1207||||||
1208||||||
1209||||||
1210||||||
1211||||||
1212||||||
1213||||||
1214||||||
1215|watashi wa raishuu osaka ni iku kamo shiremasen.|私は来週尾坂に行くかもしれません。|Maybe I'll go to Osaka next week.|Peut-être que je vais aller à Osaka la semaine prochaine.|Tal vez vaya a Osaka la próxima semana.|
1216|kanojo wa hoteru wo yoyaku shinakatta kamo shiremasen.|彼女はホテルを予約しなかったかもしれません。|She apparently didn't reserve a hotel (room).|Elle n'a apparemment pas réservé (une chambre d') hôtel.|Al parecer, no reservó (una habitación de) hotel.|
1217||||||
1218||||||
1219||||||
1220||||||
1221||||||
1222||||||
1223||||||
1224|koichi desu. Yoroshiku onegaishimasu.|コウイチです。よろしくおねがいします。|I am Koichi. Nice to meet you.|Je suis Koichi. Ravi de vous rencontrer.|Soy Koichi. Encantada de conocerte.|
1225|bobbii san ni yoroshiku onegaishimasu.|ボッビーさんによろしくおねがいします。|Please send my regards to Bobby.|S'il vous plaît envoyez mes salutations à Bobby.|Por favor enviar mis saludos a Bobby.|
1226|kotoshi mo yoroshiku onegaishimasu.|今年もよろしくお願いします。|Please treat me well this year as well.|S'il vous plaît traitez-moi bien cette année aussi.|Por favor, me tratan bien este año también.|
1227|ojamashimasu.|お邪魔します。|Sorry for interrupting/disturbing you.|Désolé de vous interrompre/déranger.|Lo siento por interrumpirle/molestarle.|
1228|ojamashimasu.|お邪魔します。|Greetings.|Salutations.|Saludos.|
1229||||||
1230||||||
1231||||||
1232||||||
1233||||||
1234||||||
1235||||||
1236||||||
1237||||||
1238||||||
1239||||||
1240||||||
1241||||||
1242||||||
1243||||||
1244||||||
1245||||||
1246||||||
1247|tomodachi to au.|友達と会う。|I meet with friends.|Je me rencontre avec des amis.|Me encuentro con amigos.|
1248|tomodachi ni au.|友達に会う。|I meet friends.|Je rencontre des amis.|Encuentro amigos.|
1249||||||
1250||||||
1251||||||
1252||||||
1253||||||
1254||||||
1255||||||
1256||||||
1257|kono hon wa muzukashi sugimasu ka? Iie, sou demo nai desu.|この本は難しすぎますか？いいえ，そうでもないです。|Is that book to difficult? No, not at all.|Est-ce livre difficile? Non, pas du tout.|Es el libro difícil? No, en absoluto.|
1258|shuuridai wa zenbu de 5000 en ni narimasu.|修理代は千部で5000円になります。|The repair fee costs 5000 yen in total.|Le coût des frais de réparation est 5000 yens au total.|El costo de la reparación es 5000 yenes en total.|
1259|yuumei desu ga amari suki dewa nai desu.|有名ですがあまり好きではないです。|(He's) famous but (I) don't like him very much.|(Il est) célèbre mais (je) ne l'aime pas beaucoup.|(Es) famoso, pero (yo) no le gusto mucho.|
1260|isogashikatta ga tanoshikatta desu.|忙しかったが楽しかったです。|(I) was busy but (I) had fun.|(Il) était occupé mais (il) s'est amusé.|(Él) estaba lleno pero (él) se divirtí.|
1261|kare wa gakusei desu ga benkyou shimasen.|彼は学生ですが勉強しません。|He's a student but he doesn't study.|Il est un étudiant, mais il n'étudie pas.|Es un estudiante, pero no estudia.|
1262|shujin mo shufu mo isogashikute, shougatsu no junbi ga dekinai baai ga aru.|主人も主婦も忙しくて，正月の準備ができない場合がある。|The husband and wife are so busy that (there comes to be a) situation where they don't want to (perform) New Year's preparations.|Le mari et la femme sont tellement occupés qu'(il s'avère une) situation où ils ne veulent pas (effectuer) les préparatifs du Nouvel An.|El marido y la mujer están tan ocupados que (viene a ser una) situación en la que no quieren (realizar) las preparaciones de Año Nuevo.|
1263|mukashi wa, shougatsu ni wa itsumo yori kirei na mono wo kimashita.|昔は，正月にはいつもよりきれいな物を着ました。|In the olden days, (people) wore beautiful things on New Year's more than in usual times.|Dans l'ancien temps, (les gens) portaient de belles choses à la fin de l'année plus que durant les temps habituels.|En la antigüedad, (personas) llevaban cosas bellas más en el Año Nuevo que en los tiempos habituales.|
1264|shougatsu ni itsumo yori zeitaku na ryouri wo tabemasu.|正月にいつもより贅沢な料理を食べます。|(They) eat extravagant cuisine on New Year's more than in usual times.|(Ils) mangent de la cuisine extravagante plus au Nouvel An qu'en temps réguliers.|(Ellos) comen cocina extravagante más en el Año Nuevo que en los tiempos habituales.|
1265||||||
1266|shiyou ka to omoimasu.|しようかと思います。|(I) think that (he) should (perhaps?) do (so).|(Je) pense qu'(il) devrait (peut-être?) (le) faire.|(Yo) creo que (él) debe (tal vez?) hacer(lo).|
1267||||||
1268||||||
1269|sono tame ni wa ie juu wo yoku souji shimashita.|そのためには家中をよく掃除しました。|For this purpose (I) cleaned all of the house well.|À ce but, (j'ai) bien nettoyé toute la maison.|Para este propósito (yo) limpio bien toda la casa.|
1270||||||
1271||||||
1272||||||
1273|kono ryokan wa kankou ni benri desu.|この旅館は観光に便利です。|This inn is convenient for sightseeing.|Cette auberge est pratique pour faire du tourisme.|Esta posada es conveniente para hacer turismo.|
1274|kono isu wa kodomo ga suwaru no ni ii desu.|この椅子は子供が座るのにいいです。|This chair is good for sitting children.|Cette chaise est bonne pour assoir les enfants.|Esta silla es buena para sentar los niños.|
1275|mado kara keshiki wa totemo ii desu. sore ni shizuka desu.|窓から景色はとてもいいです。それに静かです。|The scenery from the window is very good. In addition, it's quiet.|La vue de la fenêtre est très bonne. De plus, c'est calme.|El paisaje desde la ventana es muy bueno. Además, es tranquilo.|
1276||||||
1277||||||
1278||||||
1279||||||
1280||||||
1281|kyanseru shitai baai wa denwa wo shite kudasai.|キャンセルしたい場合は電話をして下さい。|In case (you) want to cancel, please make a call.|Dans le cas où (vous) voulez annuler, s'il vous plaît faites un appel.|En el caso de que (usted) desea cancelar, por favor llame.|
1282|ame ga futta baai wa chuushi shimasu.|雨が降った場合は中止します。|In case it rains (I)'ll cancel.|Dans le cas où il pleut (j')annulerai.|En caso de que llueva (yo) voy a cancelar.|
1283|yotei ga kawatta baai wa renraku shimasu.|予定が変わった場合は連絡します。|In case the schedule changes, contact (me).|Dans le cas où le programme change, contactez-(moi).|En caso de que el horario cambia, contacte(me).|
1284|itami ga hidoi baai wa ni jou nonde kudasai.|痛みがひどい場合は二錠飲んでください。|In case the the pain is terrible, please (take) two pills.|Dans le cas où la douleur est horrible, s'il vous plaît (prenez) deux pilules.|En caso de que el dolor es terrible, por favor (tome) dos pastillas.|
1285|ninzu ga ooi baai wa tesuto wo shimasu.|人数が多い場合はテストをします。|In case the number of people is (too) great, (make them) perform a test.|Dans le cas où le nombre de personnes est (trop) grand, (faîtes les) effectuer un test.|En caso de que el número de personas es (demasiado) grande, (hacelos) realizar una prueba.|
1286|nimotsu ga sukunai baai wa hitori de motte ikimasu.|荷物が少ない場合は一人で持っていきます。|In case (there is little luggage), (I) will carry it away it alone.|Dans le cas (où il y a peu de bagages), (je) vais l'emporter seul.|En el caso (que hay poco equipaje), (yo) lo llevaré solo.|
1287||||||
1288|kodomo no baai ryoukin wa han gaku desu.|子供の場合料金は半額です。|In the case of a child, the fare is half the sum of money.|Dans le cas d'un enfant, le tarif est la moitié de la somme d'argent.|En el caso de un niño, la tarifa es de la mitad de la suma de dinero.|
1289|toujitsu kyanseru no baai kyanseru ryou ga kakarimasu.|当日キャンセルの場合キャンセル料がかかります。|In the case of (making a cancellation on) the very day of the order, a cancellation fee is exacted.|Dans le cas (d'une annulation) le jour même de la commande, des frais d'annulation sont exigés.|En el caso de (hacer una cancelación en) el mismo día del pedido, se cobra una tarifa de cancelación.|
1290|ni juu nin ijou no baai ni waribiki desu.|20人以上の場合2割引きです。|In the case of at least twenty people, 2 are discounted. |Dans le cas d'au moins vingt personnes, 2 sont enlevés. |En el caso de al menos veinte personas, 2 son descontados. |
1291|kaji ya jishin nado no baai erebeetaa wo tsukatte wa ikemasen.|火事や地震などの場合エレベーターを使ってはいけません。|In case of a fire, an earthquake and such, you must not use the elevator.|En cas d'une incendie, d'un tremblement de terre et de tel, vous ne devez pas utiliser l'ascenseur.|En caso de un incendio, un terremoto y tal, no debe utilizar el ascensor.|
1292|kaigichuu no baai hisho ni dengon wo nokoshimasu.|会議中の場合秘書に伝言を残します。|In case (you're in) the middle of a meeting, (you) leave a (verbal) message to the secretary.|Dans le cas (où vous êtes) au milieu d'une réunion, laissez un message (verbal) au secrétaire.|En el caso (que está en) el medio de una reunión, deje un mensaje (verbal) a la secretaria.|
1293|dekiru dake takusan otera wo mitai desu.|できるだけたくさんお寺が見たいです。|I want to see as many temples as possible.|Je veux voir autant de temples que possible.|Quiero ver tantos templos como sea posible.|
1294|dekiru dake hayaku shashin wo toru tsumori desu.|できるだけ早く写真を撮るつもりです。|I intend to take pictures as fast as possible.|J'ai l'intention de prendre des photos aussi vite que possible.|Tengo la intención de tomar fotografías tan rápido como sea posible.|
1295||||||
1296|zou toka panda toka doubutsuen ni iroiro na doubutsu ga imasu.|像とかパンダとか動物園にいろいろな動物がいます。|There are various animals at the zoo, such as elephants and pandas.|Il y a plusieurs animaux au zoo, comme les éléphants et les pandas.|Hay varios animales en el zoológico, como los elefantes y los osos panda.|
1297|shigoto toka kekkon toka jibun no shourai wo kangaemasu.|仕事とか結婚とか自分の将来を考えます。|(I'm) considering (my) future, such as work and marriage.|(Je) prends en compte (mon) avenir, comme le travail et le mariage.|(Estoy) teniendo en cuenta (mi) futuro, como el trabajo y el matrimonio.|
1298|tomodachi ni au toka supootsu wo suru toka yasumi no toki wa iroiro na koto wo shimasu.|友達に会うとかスポーツをするとか休みの時はいろいろなことをします。|On (my) vacation time I do various things, for example I meet my friends or do sports.|Durant (mes) vacances je fais des choses différentes, par exemple je rencontre mes amis ou fais du sport.|En (mi) vacaciones que hago varias cosas, por ejemplo me encuentro con mis amigos o hago deporte.|
1299||||||
1300||||||
1301||||||
1302||||||
1303|yuube hitobanjuu okiteimashita.|夕べ晩中起きていました。|I stayed awake all night last night.|Je suis resté éveillé toute la nuit hier.|Me quedé despierto toda la noche anoche.|
1304||||||
1305||||||
1306|sono inu wa karada juu yogoreteimasu.|その犬は体中汚れています。|This dog is dirty all over (its) body.|Ce chien est sale sur tout (son) corps.|Este perro está sucia por todas partes (su) cuerpo.|
1307|eki kara watashi no uchi made wa daitai juu pun gurai kakarimasu.|駅から私のうちまでは大体十分ぐらいかかります。|It generally takes approximately 10 minutes from the station to my house.|Ça prend généralement environ 10 minutes de la gare à ma maison.|Generalmente se tarda aproximadamente 10 minutos desde la estación hasta mi casa.|
1308|sono ryokan made no ikikata wa daitai wakarimasu.|その旅館までの行き方は大体わかります。|I more or less know how to get to this inn.|Je sais plus ou moins comment me rendre à cette auberge.|Más o menos sé cómo llegar a esta posada.|
1309|basu dai wa kyori ni yotte chigaimasu.|バス代は距離によって違います。|The bus fare differs depending on the distance (travelled).|Le prix du bus varie en fonction de la distance (parcourue).|El billete de autobús varía en función de la distancia (viajó).|
1310|hoteru no ryoukin wa kisetsu ni yotte chigaimasu.|ホテルの料金は季節によって違います。|The hotel fee differs depending on the season.|Les frais d'hôtel varient en fonction de la saison.|La taraifa del hotel difiere dependiendo de la temporada.|
1311|shumi wa hito ni yotte chigaimasu.|趣味は人によって違います。|Pastimes differ depending on the person.|Les passe-temps diffèrent en fonction de la personne.|Pasatiempos difieren dependiendo de la persona.|
1312|ikkagetsu buri ni aimashita.|一か月振りに会いました。|We didn't meet for a whole month. (lit. We met after one month.)|Nous ne sommes pas recontrés pendant un mois entier. (Lit. Nous nous sommes rencontré qu'après un mois.)|No nos encontramos durante todo un mes. (Lit. Nos encontramos después de un mes.)|
1313|isshukan buri ni shawa wo wabimashita.|一週間振りにシャワーを浴びました。|I took a shower after a week (passed).|Je pris une douche après (qu')une semaine (s'est passée).|Me di una ducha después de una semana (que pasada).|
1314|okiru jikan wa hi ni yote hayakattari osokattari shimasu.|起きる時間は日によって早かったり遅かったりします。|The time to wake up is early or late depending on the day.|L'heure de se réveiller est tôt ou tard en fonction du jour.|La hora de despertar es temprana o tarde dependiendo del día.|
