MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
12612|dueño, propietario, esposo|N||||||
12613|estancamiento|N||||||
12614|orden, sucesión|N||||||
12615|dar justo en el blanco, acierto, atino|N||||||
12616|moderación, mesura|||||||
12617|apropiado, oportuno|||||||
12618|ajustarse, conjuntar, adaptarse, ir bien|N;Ano||||||
12619|revelación, denuncia, poner al descubierto, sacar a la luz, descubrir|N||||||
12620|legalidad|||||||
12621|legitimado, adecuado, apto, competente|N;Ano||||||
12622|adaptarse, aclimatarse, acomodarse, adaptación|N||||||
12623|edad adecuada|N||||||
12624|en edad propicia para matrimonio|N||||||
12625|cantidad adecuada|N||||||
12626|aptitud, talento|N||||||
12627|apropiado|||||||
12628|revocar, retirada, retracción|N;Ano||||||
12629|armazón de acero|||||||
12630|marco de acero|N||||||
12631|reventa|N||||||
12632|panorama, perspectivas|N||||||
12633|cielo y la tierra, universo|N||||||
12634|aditivo|N||||||
12635|pasar a otros la responsabilidad|N||||||
12636|clásico, típico|N||||||
12637|típico|Ana||||||
12638|gas natural|N||||||
12639|adjunto|N;Ano||||||
12640|volcar, pirueta, voltereta|N||||||
12641|caída, degradación, desplome, derrame|N||||||
12642|rectificación, corrección|N||||||
12643|cambio de trabajo|N||||||
12644|toalla|N||||||
12645|descuido, negligencia, falla|N||||||
12646|cima, cumbre, cresta|||||||
12647|(a) tientas, tanteo, exploración|N||||||
12648|hecho a mano|N;Ano||||||
12649|retirada|N||||||
12650|baranda, barandilla, pasamanos|N||||||
12651|trabajo, esfuerzo, molestia, lata|N||||||
12652|toda la noche, vigilia durante toda la noche, noche sin dormir|N;Ano||||||
12653|rigurosidad, integridad|N||||||
12654|a fondo, minucioso, profundo, completo|Ana||||||
12655|repartición, distribución, racionamiento|N||||||
12656|extraordinariamente, increíblemente|||||||
12657|pobre, escaso|Ai||||||
12658|operado por el gobierno municipal|N||||||
12659|en camino a|NAdv;T||||||
12660|país en desarrollo|N;Abr||||||
12661|algunas veces, de vez en cuando...|A;CE||||||
12662|privilegio, prerrogativa|N;Ano||||||
12663|hace mucho tiempo|A||||||
12664|trasalcoba|N||||||
12665|ganancia, provecho, beneficio|||||||
12666|ofertas, rebajas|N;Ano||||||
12667|especial|NAdv;T||||||
12668|corresponsal|N||||||
12669|mención especial|N||||||
12670|fuerte, especialidad|||||||
12671|único, singular|||||||
12672|anonimato, seudónimo|N;Ano||||||
12673|de producción especial|N||||||
12674|enviado especial|N||||||
12675|cualidad especial|N||||||
12676|atractivo especial, particularidad|N||||||
12677|instigar, urgir, demandar, requerimiento judicial de pago, apremio, monición|N||||||
12678|investigación especial|N||||||
12679|peculiaridad, particularidad, característica|||||||
12680|sin cesar|A||||||
12681|riquezas, fortuna|||||||
12682|amigo, compañero, colega, acompañante, agregado|N||||||
12683|juntos, juntas|A||||||
12684|de cualquier forma, sea como sea, en todo caso, generalmente hablando, en cualquier caso|A||||||
12685|distante, alejado|Ano||||||
12686|tercer signo del zodiaco chino (el tigre, 3am - 5am, este-noreste, Enero)|N||||||
12687|cancelación, anulación, revocación|N||||||
12688|decisión, acuerdo|N||||||
12689|retirada|N||||||
12690|investigación, indagación, averiguación|N||||||
12691|pintura|N||||||
12692|capa (ej. de pintura)|N||||||
12693|al acto, al instante, al momento|A||||||
12694|por ahora, por algún tiempo|A;T||||||
12695|dividir en partes iguales, división en partes iguales|N||||||
12696|inversión, revés|N;Ano||||||
12697|faro|N||||||
12698|Alemania Oriental|N;Abr||||||
12699|proyección|N||||||
12700|arte de la cerámica, alfarería|N||||||
12701|debate, discusión|N||||||
12702|embarcar, embarque|N||||||
12703|equivalencia|||||||
12704|inmovilizar, congelamiento|N||||||
12705|especulación|N||||||
12706|registro, inscripción|N||||||
12707|cerámica|N;Ano||||||
12708|subida, encarecimiento|N||||||
12709|contribución, aplicación, publicar(e.g. a un grupo de noticias o lista de correo)|N||||||
12710|rendición|N||||||
12711|asistencia (a la escuela), ir a la escuela, asistir a la escuela|N||||||
12712|robo|N||||||
12713|Europa oriental|N;Ano||||||
12714|llegada|N||||||
12715|debate, discusión|N;Ano||||||
12716|quiebra, bancarrota|N||||||
12717|control, reglamentación|N||||||
12718|diálisis (química)|N;Ano;ZC||||||
12719|proyección|N||||||
12720|invertir, hacer una inversión, inversión|N||||||
12721|guerrero, combatiente, luchador|N||||||
12722|espíritu combativo, espíritu guerrero|N||||||
12723|proporciones corporales|N;Ano||||||
12724|carta, sugerencia, denuncia anónima|N||||||
12725|lucha, batalla|N;Ano||||||
12726|embriaguez|N||||||
12727|llegada, arribo, logro|N||||||
12728|no importa lo que se haga|A||||||
12729|inesperado, repentino|||||||
12730|confusión, perplejidad|N||||||
12731|medicación|N||||||
12732|queroseno|N||||||
12733|ladrón|N||||||
12734|saliva, escupitajo, esputo|N||||||
12735|paloma, golondrina|N||||||
12736|contador para granos y gotas|||||||
12737|ortografía|N||||||
12738|bastón, bordón, apoyo|N||||||
12739|parche, remiendo|||||||
12740|a continuación, después de|N||||||
12741|persecución|N||||||
12742|finalmente, al fin, por fin|A||||||
12743|(con verbo negativo) al final|A||||||
12744|luto, duelo|N;Ano||||||
12745|encrucijada, cruce de caminos|N;Af||||||
12746|razonamiento, lógica|N||||||
12747|principios de mes|N;A||||||
12748|noche de luna llena|N||||||
12749|cortauñas|N||||||
12750|ahorros|N||||||
12751|conexión, relación, enlace, vinculación|N||||||
12752|equilibrio|N||||||
12753|asa, asidero, cuerda (del arco, del violín, de la guitarra, etc.)|N||||||
12754|pedido por correo|N;Ano;Abr||||||
12755|sentir vivamente|N||||||
12756|riguroso, severo|||||||
12757|notificación, aviso|N||||||
12758|contador para conversaciones o llamadas telefónicas|||||||
12759|popular, común, ordinario|Ana||||||
12760|destello, resplandor|N||||||
12761|velatorio, vela|N||||||
12762|brillante, lustroso, reluciente|A;Ano;Ato||||||
12763|firme, fuerte|||||||
12764|fuerte|N||||||
12765|rocío|||||||
12766|fin de la estación de las lluvias|N||||||
12767|mar interior|N||||||
12768|éxtasis|||||||
12769|reloj de pulsera|N||||||
12770|capacidad, aptitud, destreza, facultad|N||||||
12771|hambre|N||||||
12772|plantas de macetas|N||||||
12773|orden vertical, subida y caída, fluctuación|||||||
12774|gárgaras|N||||||
12775|destinatario|N||||||
12776|reparto, entrega|N||||||
12777|boya, flotador, corcho (pesca), boya, boya, flotador|N||||||
12778|temporada de lluvias|N||||||
12779|flotando, alegre, emocionado|A;Ato||||||
12780|grabado "ukiyoe"|N||||||
12781|séptimo signo del zodiaco chino (El Caballo, 11a.m.-1p.m., sur, Mayo)|N||||||
12782|por naturaleza, de nacimiento, nativo|N;Ano;NAdv||||||
12783|ciruela seca|N||||||
12784|recuperación de tierras|N||||||
12785|padre, creador, pionero, fundador|N;CE||||||
12786|por suerte, por fortuna, afortunadamente|A||||||
12787|transporte|N||||||
12788|Ministerio de Transporte|N||||||
12789|tarifa, pasaje|N||||||
12790|ruta naval, itinerario naval, navegación (marítima o aérea)|N||||||
12791|suspensión de labores, receso, cese|N||||||
12792|destino|N||||||
12793|transporte de carga|N||||||
12794|vanidad|N;Ano||||||
12795|puerta trasera|N||||||
12796|adivino, adivinación|N||||||
12797|venta, demanda|N||||||
12798|ventas, ingresos, total de las ventas|N||||||
12799|importe de las ventas, resultado de las ventas|N||||||
12800|venta especial, liquidación, (a la) venta|N||||||
12801|vendido, existencias agotadas, producto agotado|N;Ano||||||
12802|artículo para la venta, en venta, bien objeto de venta, artículo en venta, producto a la venta, "en venta", "se vende", virtud, ventaja, punto fuerte|N||||||
12803|vendedor, proveedor, abastecedor|N||||||
12804|humedad, roció, frescura|N||||||
12805|laca, barniz, árbol de laca|N||||||
12806|año bisiesto|N;Ano||||||
12807|precipitaciones|N||||||
12808|vestirse ligeramente, llevar ropa ligera, aligerarse de ropa|N;Ano||||||
12809|dudoso|Ai||||||
12810|fiesta, banquete|N||||||
12811|tiempo lluvioso|N||||||
12812|cambio (ej. estación)|N||||||
12813|copia|N||||||
12814|ascenso, subida, tendencia al alza, tendencia alcista|N;Ano||||||
12815|extra, añadido, suplemento, aumento|N||||||
12816|rumor, chisme, plática común|N;Ano||||||
12817|a medias tintas, ambiguo, difuso, turbio, poco claro|||||||
12818|disculpa|N||||||
12819|pastelillos japoneses, dulces japoneses|N||||||
12820|rodaja, rodajas|N||||||
12821|lenguaje de origen japonés|N||||||
12822|goma elástica (eng: rubber band)|N||||||
12823|paz|N||||||
12824|soborno|N||||||
12825|waka (poema japonés de 31 sílabas)|N||||||
12826|obstinado, terco, necio|N||||||
12827|comprensión|N||||||
12828|juventud|N||||||
12829|axila, sobaco, lado, axila, sobaco|||||||
12830|mirar de lado, distracción, ojeada|N||||||
12831|papel secundario (teatro, cine, etc)|N;Ano||||||
12832|travieso, revoltoso, desobediente, pícaro, bribón, bribonzuelo, pillo, pilluelo|||||||
12833|fuerza física, fuerza del brazo|N||||||
12834|comparativamente|A||||||
12835|división (matemáticas)|N;ZMt||||||
12836|astuto, taimado, hábil|Ai||||||
12837|mala voluntad, malicia, mala intención, malos sentimientos, desconfianza, recelo|N||||||
12838|papel japonés|N||||||
12839|águila|N||||||
12840|estilo japonés|N||||||
12841|ferry, transbordador|N||||||
12842|ave migratoria|N||||||
12843|embarcadero|||||||
12844|calamidad, catástrofe, desastre|N||||||
12845|molesto, desagradable|Ai||||||
12846|eternidad, miles de años|N||||||
12847|curso nocturno, clases nocturnas|N||||||
12848|dentro de poco, pronto, aproximadamente|A||||||
12849|además, tal y como pensaba, todavía, a pesar de, completamente, totalmente, por supuesto|A||||||
12850|flecha (marca o símbolo), marcador o indicador direccional, flecha|N||||||
12851|camote asado|N||||||
12852|celos|N||||||
12853|pastel de arroz|N||||||
12854|carne asada|N;ZF||||||
12855|yakisoba, fideos asados|N;ZF||||||
12856|traductor|N||||||
12857|Japón Antiguo|||||||
12858|intolerable, insoportable, inaguantable, demasiado|Ai||||||
12859|ajuste, arreglo, acomodamiento|N||||||
12860|reinicio|N||||||
12861|diálogo, negociación, trueque|N||||||
12862|economía|Ano;Ana||||||
12863|precio bajo|N;Ano||||||
12864|verse barato, barato, cursi, insignificante|Ai||||||
12865|paz, tranquilidad|N;Ano||||||
12866|descuento, rebaja, venta regateada, vende, vendiendo barato|N||||||
12867|en exceso, a ciegas, al azar, a lo loco, a lo bestia, sin conocimiento, sin talento, pasarse de la raya|||||||
12868|empresario|N||||||
12869|desquitarse con quien sea|N||||||
12870|apelativo, sobrenombre|N||||||
12871|prevención, medida preventiva|N;Ano||||||
12872|extra, sobrante|||||||
12873|premonición, presagio, intuición, corazonada, conjetura, presentimiento|N||||||
12874|espacio extra, holgura, cabida|N||||||
12875|predicción, conjetura|N||||||
12876|digresión, acotación|N;Ano||||||
12877|baba|N||||||
12878|inevitablemente, necesariamente|A||||||
12879|bastante, mucho más|||||||
12880|tiempo libre, ocio, esparcimiento|N;Ano||||||
12881|presentimiento, premonición|N||||||
12882|demasiado, innecesario, en gran cantidad, sobrante, excesivo, superfluo|||||||
12883|prever, esperar, expectativa|N||||||
12884|despojo, usurpación, apoderamiento, captura, decomiso, apoplejía, arrebatamiento|N||||||
12885|escritura horizontal|N||||||
12886|aviso|N||||||
12887|vereda, desviación (del tema principal)|N||||||
12888|alfabeto romano, escritura occidental|N||||||
12889|represión, opresión|N||||||
12890|avaricia, ambición|||||||
12891|¿Cómo te atreves...?|A||||||
12892|restricción, inhibición|N;Ano||||||
12893|disuasión|N||||||
12894|cuarto de baño (para bañarse)|N||||||
12895|bañera, bañadera, tina|N||||||
12896|entonación, modulación|N||||||
12897|nuera, esposa, novia (desposada)|N||||||
12898|(propia) nuera|N||||||
12899|lectura|N||||||
12900|lectura y escritura|N||||||
12901|(reglas, estandares de) lectura|N||||||
12902|cuatro (objetos cilíndricos alargados)|Af||||||
12903|cuatrocientos, 400|N||||||
12904|borracho, alcohólico (persona)|N||||||
12905|placentero, agradable, grato|Ai||||||
12906|mescolanza, popurrí, revoltijo|N;Ano||||||
12907|réplica (de un terremoto)|N||||||
12908|predicción, estimación|N||||||
12909|descuido, omisión, inadvertencia, desprecio, feo, distracción, falta de atención|N||||||
12910|expectativa, predicción, previsión, pronóstico|N;Ano||||||
12911|inesperado, imprevisto, extraño|||||||
12912|encrucijada, cruce, esquinas|N||||||
12913|padres adoptivos|N||||||
12914|estilo occidental|N;Ano;Ana||||||
12915|película (de producción occidental)|N||||||
12916|música occidental (no japonesa)|N||||||
12917|sospechoso (persona)|N||||||
12918|protección, defensa|N||||||
12919|sustento, mantenimiento, manutención|N||||||
12920|contenedor, recipiente|N||||||
12921|habitación estilo occidental|N||||||
12922|lana|N;Ano||||||
12923|capacidad, volumen|||||||
12924|costura, corte y confección|N||||||
12925|hada, duendecillo, elfo|N;Ano||||||
12926|entrenamiento, formación|N||||||
12927|capacidad, volumen|N||||||
12928|soldar, estañar|N||||||
12929|aspecto, apariencia, rostro y figura|N||||||
12930|estilo occidental|N||||||
12931|habitación estilo occidental|N||||||
12932|libros de origen occidental|N||||||
12933|puntos estratégicos, puntos importantes|N||||||
12934|alimentos occidentales|N||||||
12935|acuicultura|N||||||
12936|licor de manufactura occidental|N||||||
12937|sobra, holgura|N||||||
12938|adhesión|||||||
12939|vapor|N||||||
12940|voluntad, testamento, ultima petición|N;ZLw||||||
12941|bajo el suelo|N;Ano||||||
12942|yukata, bata|N||||||
12943|transfusión de sangre|N||||||
12944|taza de té|N;Abr||||||
12945|lirio, azucena, Lilium|||||||
12946|cómics y novelas de temática lésbica|||||||
12947|suavemente, sosegadamente|Ana||||||
12948|exportación, exportar|||||||
12949|exportación e importación|N||||||
12950|abundante|||||||
12951|gracia, elegancia|||||||
12952|nomadismo|N;Ano||||||
12953|venenoso, tóxico|||||||
12954|guía, inducción, conducción, dirección|N||||||
12955|complejo de superioridad|N||||||
12956|riqueza, opulencia, prosperidad|||||||
12957|elegancia, gracia, refinamiento|||||||
12958|nocivo|||||||
12959|finito, limitado|||||||
12960|fusión|N;Ano||||||
12961|superioridad, supremacía, hegemonía|||||||
12962|provechoso, significante, beneficioso|Ana||||||
12963|emergencia|N||||||
12964|secuestro|N||||||
12965|valiente, audaz|Ana||||||
12966|título valor|N||||||
12967|votantes|N||||||
12968|orgánico|N;Ano||||||
12969|materia orgánica|N||||||
12970|turismo|N||||||
12971|superior, excelente|||||||
12972|superior, predominante|||||||
12973|sistema postal|N||||||
12974|ministerio de correos y telecomunicaciones|N||||||
12975|preferencia, prioridad|N;Ano||||||
12976|comunicación por cable|||||||
12977|preferente|Ana||||||
12978|financiación, préstamo, crédito|N||||||
12979|experto (persona)|N||||||
12980|envío postal, flete|N||||||
12981|prominente, destacado|||||||
12982|estudiante de honor|N||||||
12983|melancolía|||||||
12984|titubeo, duda, vacilación, fluctuación|N||||||
12985|útil, de ayuda|||||||
12986|con soltura, con facilidad, cómodamente|||||||
12987|culpa, culpabilidad|N;Ano||||||
12988|zaibatsu, plutocracia|N;Ano||||||
12989|estar en los EE.UU.|N||||||
12990|estar en Tokio|N;Ano||||||
12991|estar en la oficina|N||||||
12992|estadía, estancia, permanencia|N;Ano||||||
12993|provisional, temporal|N;Ano||||||
12994|frustración, revés, desánimo, desaliento|N||||||
12995|malas hierbas, maleza|N;Ano||||||
12996|aglomeración|N;Ano||||||
12997|cima, cumbre, pico, clímax|N;Ano||||||
12998|por todos los medios (con el sentido de no recibir un "no" por respuesta)|A||||||
12999|aduana|N||||||
13000|oficina de recaudación fiscal|N||||||
13001|Ruptura (de relaciones)|N||||||
13002|insuperable, excelente|||||||
13003|el bien y el mal|N||||||
13004|benevolencia|||||||
13005|noche anterior, víspera|NAdv;T||||||
13006|bondad, virtud|N||||||
13007|Zen, budismo|||||||
13008|mesa (para comer)|||||||
13009|parte frontal, frente|N;Ano||||||
13010|templo Zen|N;ZB||||||
13011|todos los días|NAdv;T||||||
13012|plenos poderes, plenas facultades|N||||||
13013|período anterior|Ano;T||||||
13014|abolición total|N||||||
13015|generalidad, universalidad, globaliad|N;Sx||||||
13016|toda la cantidad|N||||||
13017|la última semana, la semana anterior|NAdv;T||||||
13018|a toda velocidad, a toda máquina|N||||||
13019|corrección|N||||||
13020|argot, jerga|N;Ano||||||
13021|cuanto uno quiera|N;A;Ana||||||
13022|marfil|N||||||
13023|fluctuación|N||||||
13024|rebelión|N||||||
13025|bosque mixto, arboleda o bosque con árboles de diferentes especies|N||||||
13026|bayeta|N||||||
13027|zoni (tipo de sopa con mochi)|N||||||
13028|odio, saña|N||||||
13029|construcción (de barcos)|N||||||
13030|ampliación de capital|N||||||
13031|ofrenda, regalo, donación, obsequio|N;Ano||||||
13032|regalo, donación|N||||||
13033|ensayo literario|N||||||
13034|en cualquier momento, cuando la ocasión lo pida|A||||||
13035|torpe, malhecho, descuidado, negligente|||||||
13036|chillón, llamativo, excesivo|Ai||||||
13037|vicioso|Ai||||||
13038|palabras dichas sin pensar, palabras ofensivas, descortesía verbal|N||||||
13039|especialización por materias, división en materias|N||||||
13040|fantástico (eng: fantastic)|Ana||||||
13041|traductor|N||||||
13042|casa distanciada o simple, casa aislada|||||||
13043|hogar de una familia sencilla|||||||
13044|consideración, pensamiento|N||||||
13045|algo, un poco de|A||||||
13046|intervalo estacionario, periodo estacionario (período)|N;T||||||
13047|solicitud directa|N||||||
13048|información personal|N||||||
13049|minuciosamente, detalladamente|A||||||
13050|hola, buenos dias (saludo durante el día)|UNC||||||
13051|cliente|N||||||
13052|compañero de clase|N||||||
13053|hasta que, por, no tarde que, antes|A||||||
13054|nieta|N||||||
13055|lo más importante|CE;Ana||||||
13056|(eng: nighter) nocturno, de noche|N||||||
13057|"nara": roble deciduo|N||||||
13058|pantanal, tierra pantanosa, humedales|N||||||
13059|ingreso, admisión, unirse, inscripción (inscribirse en algún sitio)|||||||
13060|participante, aspirante|N||||||
13061|programador (eng: programmer)|N||||||
13062|nombre formal|N||||||
13063|consejo estudiantil|N||||||
13064|patrimonio propio, fortuna particular, bienes privados|N||||||
13065|ontología|N||||||
13066|regleta de nivelación, nivel|N||||||
13067|cuaderno de bocetos (eng: sketchbook)|N||||||
13068|chivo expiatorio (eng: scapegoat)|N||||||
13069|(eng: skate) patinaje|N||||||
13070|(eng: schedule) itinerario, agenda, horario|N||||||
13071|muerte, el otro mundo|N||||||
13072|confirmación, certificación, verificación|N||||||
13073|a la mano, conocido, familiar|||||||
13074|sobrante, extra (de sobra)|N||||||
13075|ser amantes|N||||||
13076|demasiado, excesivamente|A||||||
13077|temblor, sacudida, temblar, afección, agitación|A||||||
13078|tifus|N||||||
13079|dinamarca|Pl||||||
13080|qué hacer|CE||||||
13081|primero|N||||||
13082|cortafuegos (eng: firewall)|N||||||
13083|(eng: fight) pelea, pleito, lucha|N||||||
13084|fax|N||||||
13085|familia (eng: family)|N||||||
13086|fascismo (eng: fascism)|N||||||
13087|moda (eng: fashion)|N||||||
13088|(eng: fastener) cierre, cremayera|N||||||
13089|comida rápida (eng: fast-food)|N||||||
13090|fiebre (eng: fever), calentura|N||||||
13091|discordia, desavenencia|||||||
13092|realista, pragmático|Ana||||||
13093|crujir , chocar|N||||||
13094|exilio, destierro|N||||||
13095|vergüenza, reserva, timidez, corte, retraimiento|N||||||
13096|mano (eng: hand)|N||||||
13097|solo, solitario, soledad|N||||||
13098|caridad|N||||||
13099|una persona, otro nombre|N||||||
13100|transferencia a (otro barco, etc)|N||||||
13101|solución, estrategia de solución|N||||||
13102|agridulce|N||||||
13103|crimen perfecto|N||||||
13104|china|N;Px||||||
13105|puerta posterior|N||||||
13106|su casa, vuestra casa|||||||
13107|vos (refiriéndose a un igual, estilo epistolario)|||||||
13108|buen sentimiento, sentirse bien|CE;Ai||||||
13109|aire acondicionado (eng: cooler)|N||||||
13110|mago, hechicero, brujo|N||||||
13111|rey demonio|N||||||
13112|marihuana (eng:), mariguana|N||||||
13113|marimba (instrumento musical) (eng:)|N||||||
13114|estrella fugaz|N||||||
13115|bambú sagrado chino, bambú celestial|||||||
13116|importante, valioso, asunto grave|N||||||
13117|violación (eng: rape)|N||||||
13118|perro de caza|N||||||
13119|acoso sexual (eng:sexual harassment)|N||||||
13120|chicos y chicas|N||||||
13121|varios días después|N;T||||||
13122|¡auxilio!, ¡socorro!|OI||||||
13123|sufijo: recién hecho, recién...|||||||
13124|conejo (signo del zodiaco chino)|N||||||
13125|cándido, infantil, ingenuo, inocente, candoroso, inocente, ingenuo, inexperimentado, inmaduro, humedad detrás de las oreja|||||||
13126|walabí|N||||||
13127|objeto representativo de un espíritu divino, objeto en el cual un espíritu es llamado o invocado, objeto o animal ocupado por un kami, objeto reprensentativo de un espíritu divino, objeto en el cual un espíritu es llamado o invocado, objeto o animal ocupado por un kami|N||||||
13128|dependiendo de la situación, si el tiempo y las circunstancias lo permiten|CE||||||
13129|vector (eng:)|N||||||
13130|vector (ger: Vektor)|N||||||
13131|parece que, de una forma u otra|A||||||
13132|superior|N||||||
13133|grupo, pandilla, compañia, escuadrón|N||||||
13134|con decisión, con determinación, decididamente, sin vacilar, con fe|Aj||||||
13135|fructificación|N||||||
13136|desnudo, expuesto, manifiesto, cerrado (acento provinciano)|N||||||
13137|invernadero, invernáculo, nevera, bodega, sótano|N||||||
13138|lista de éxitos musicales , on parade|N||||||
13139|reportarse, presentarse al lugar de empleo, salida a la empresa, desplazamiento al trabajo|N||||||
13140|todos los caminos conducen a roma|CE||||||
13141|ídolo (eng: idol)|N||||||
13142|agotado, muerto (de cansancio), agotado , rendido , hecho polvo , desvencijado , hecho trizas , hecho fosfatina , hecho papilla|||||||
13143|desfallecer, decaer|A||||||
13144|excursión (eng: hiking)|N||||||
13145|(eng: handle) volante de automóvil|N||||||
13146|tengo hambre|CE||||||
13147|antes de tiempo, en buena temporada|A||||||
13148|completamente agotado|||||||
13149|respiro, pausa, esfuerzo|N||||||
13150|esforzarse seriamente|CE||||||
13151|cuerpo diferente|N||||||
13152|puerta de piedra, losa de cierre|N||||||
13153|úlcera|N||||||
13154|inquietarse, intranquilizarse, desasosegarse, estar intranquilo, ponerse nervioso, estar molesto|CE||||||
13155|magia (eng: magic)|N||||||
13156|mago (eng: magician)|N||||||
13157|sufijo que indica desprecio o humildad|Sx||||||
13158|requerimiento postal fehaciente|N||||||
13159|fácil, insignificante, inofensivo, (no...) nada, en absoluto, de ningún modo, absolutamente nada|CE||||||
13160|vida cotidiana|N||||||
13161|cuesta arriba|N||||||
13162|conducta escandalosa|N||||||
13163|zumo de piña (eng: pineapple juice)|N||||||
13164|pizza (ita:)|N||||||
13165|carta (eng: letter)|N||||||
13166|lechuga|N||||||
13167|seminario (ger: seminar)|N||||||
13168|combatiente|N||||||
13169|cansado, agotado|Ai||||||
13170|pesado (algo que cansa), preocupante, molesto|Ai||||||
13171|porción|N||||||
13172|voz (eng: voice)|N||||||
13173|(eng: bonus) bonus, extra, plus|N||||||
13174|volumen, cantidad|N||||||
13175|desastre, debacle, calamidad, catástrofe, hecatombe|N||||||
13176|época (era) Eien (987.4.5-989.8.8)|N||||||
13177|sonido de una campana, sonido de una voz a regañar, dolor de cabeza, beber a grandes tragos|||||||
13178|vagabundo|N||||||
13179|muchos, numeroso|||||||
13180|prefacio, prólogo|N||||||
13181|hechizo|N||||||
13182|cazador|N||||||
13183|forma, apariencia|N;Sx||||||
13184|colateral|N;Sx||||||
13185|adverso de una moneda "zeni" antigua|N;Sx||||||
13186|sufijo: puente|N||||||
13187|tiro con arco (japonés)|N||||||
13188|ilusionista, prestidigitador|N||||||
13189|sin|CE||||||
13190|nacionalismo (eng: nationalism)|N||||||
13191|nacional (eng: national)|||||||
13192|Liga Nacional (eng: National League)|N||||||
13193|por favor|CE||||||
13194|en secreto, a escondidas|||||||
13195|un poco , unas migas , unas gotas|||||||
13196|poder (eng: power)|N||||||
13197|monumento de piedra|N||||||
13198|serifa (eng: serif) (adorno tipográfico), palabras, comentarios, observaciones, línea(s) (en un diálogo), palabras, comentarios, observaciones|N||||||
13199|patrullaje|N||||||
13200|señorita|N||||||
13201|lo que me recuerda ..., ya que lo mencionas ..., sobre ese tema ...|CE||||||
13202|talón, recibo, comprobante, factura, vale|N||||||
13203|emoción, excitación|N||||||
13204|Archiduque|N||||||
13205|cofre, caja de seguridad|N||||||
13206|terrorismo|N||||||
13207|terrorista (eng: terrorist)|N||||||
13208|terrorismo (eng: terrorism)|N||||||
13209|(el) arte de la conversación|N||||||
13210|comparativamente, relativamente, más de lo esperado|A||||||
13211|cráneo|N||||||
13212|visión nocturna|N||||||
13213|ataque sorpresa|N||||||
13214|sufijo: propenso a|Sx||||||
13215|arrebato del bolso, ladrón de bolsos|N||||||
13216|sobrevivir|VrugI||||||
13217|en este momento, en la actualidad|UNC||||||
13218|emperatriz|N||||||
13219|herrero|N||||||
13220|cambiar, renovar|VruiT||||||
13221|antigüedad, curiosidad|N||||||
13222|filón, veta|N||||||
13223|frío , fresco|||||||
13224|bueno, aceptable, más o menos|A||||||
13225|curtir|VsuT||||||
13226|esclavo (eng: slave)|N||||||
13227|delgado (eng: slender)|Ana||||||
13228|tesoro (eng: treasure)|||||||
13229|gabardina (eng: trench coat)|N||||||
13230|armadura|||||||
13231|aldehído (eng: aldehyde)|N||||||
13232|alfabeto, abecedario|N||||||
13233|algoritmo|N||||||
13234|(eng: alkali) álcali, base|N||||||
13235|aluminio (Al) (eng: aluminum)|N||||||
13236|aluminio (Al) (eng: aluminum)|N||||||
13237|Alpes|||||||
13238|templo budista|N||||||
13239|monje|N||||||
13240|guerra, campaña, batalla|N||||||
13241|oro (eng: gold)|N;NE||||||
13242|reptiles|N;Fa||||||
13243|favor, patrocinio|N||||||
13244|una vez|N||||||
13245|contrincante, adversario, contrario, cónyuge|||||||
13246|sonoridad, apariencia, crítica, fama|N||||||
13247|familiar, famoso, muy conocido|Ano;N||||||
13248|prefijo: grande, gran, mucho|Px||||||
13249|visita|N||||||
13250|no obstante, aun así|CE||||||
13251|Troya (eng: Troy)|||||||
13252|incomprensible, ininteligible, difícil de entender, difícil de entender, incomprensible, ininteligible|Ai||||||
13253|ciruela salvaje|N||||||
13254|hacer|VsuT||||||
13255|llamarse, decir|VsuT||||||
13256|devolver, reintegrar, reembolsar, volver, dar la vuelta, poner boca abajo, devolver|VsuT||||||
13257|hablar|VsuT||||||
13258|levantar, causar, despertar a alguien|VsuT||||||
13259|dispersar, esparcir, distribuir|VsuT||||||
13260|prestar|VsuT||||||
13261|alquilar, arrendar|VsuT||||||
13262|empujar, presionar|VsuT||||||
13263|aplicar presión desde arriba, empujar abajo|VsuT||||||
13264|estampar (i.e. un pasaporte), aplicar un sello, estampillar, estampar, sellar, presionar, apretar, oprimir, comprimir|VsuT||||||
13265|intercambiar(mensajes), esquivar, evitar, apartar|VsuT||||||
13266|dejar (atrás), legar, salvar, reservar, dejar atrás, legar, salvar, reservar|VsuT||||||
13267|borrar|VsuT||||||
13268|apagar (interruptor)|VsuT||||||
13269|matar (sl)|VsuT||||||
13270|buscar (e.g. algo perdido, algo anhelado, algo necesario, al sospechoso de un crimen), buscar (algo perdido, anhelado o sospechoso de un crimen)|VsuT||||||
13271|fundir metales, derretir, fundir, licuar, derretir, fundir, disolver|VsuT||||||
13272|traducir|VsuT||||||
13273|derramar, regar, quejarse, derramar|VsuT||||||
13274|murmurar, refunfuñar|VsuT||||||
13275|salir, sacar|VsuT||||||
13276|publicar, revelar, mostrar|VsuT||||||
13277|presentar (ej. tesis), entregar|VsuT||||||
13278|hacer público|VsuT||||||
13279|enviar (carta)|VsuT||||||
13280|iniciar (fuego)|VsuT||||||
13281|servir (comida)|VsuT||||||
13282|empezar a, echar a|VsuT||||||
13283|romper, romper, averiar, estropear, dañar|VsuT||||||
